,Unnamed: 0,CID,Activity_Outcome,Activity_Score,Ratio_Potency_(uM),MW,Polar_Area,Complexity,Heavy_Count,HBondDonor,HBondAcc,RotBonds,IsoSMILES
69,69,2141,Inactive,0,100.0,214.23,121.0,152.0,12,4,6,7,C(CN)CNCCSP(=O)(O)O
70,70,1986,Inactive,0,100.0,222.3,152.0,297.0,13,2,7,2,CC(=O)NC1=NN=C(S1)S(=O)(=O)N
71,71,2230,Inactive,0,100.0,155.19,29.5,187.0,11,0,3,2,CN1CCC=C(C1)C(=O)OC
72,72,16231,Inactive,0,100.0,229.63,159.0,279.0,15,4,5,1,C1(=C(N=C(C(=N1)Cl)N)N)C(=O)N=C(N)N
73,73,564,Inactive,0,100.0,131.17,63.3,83.1,9,2,3,5,C(CCC(=O)O)CCN
74,74,135401907,Inactive,0,100.0,136.11,70.1,190.0,10,2,3,0,C1=NNC2=C1C(=O)NC=N2
75,75,2157,Inactive,0,100.0,645.3,42.7,547.0,31,0,4,11,CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I
76,76,2119,Inactive,0,100.0,249.35,41.5,231.0,18,2,3,8,CC(C)NCC(COC1=CC=CC=C1CC=C)O
77,77,2123,Inactive,0,100.0,210.28,48.4,148.0,15,0,6,3,CN(C)C1=NC(=NC(=N1)N(C)C)N(C)C
78,78,2196,Inactive,0,100.0,219.24,46.6,282.0,16,0,3,2,COC1=CC=C(C=C1)C(=O)N2CCCC2=O
79,79,4768,Inactive,0,100.0,303.8,12.5,262.0,21,0,2,8,CC(COC1=CC=CC=C1)N(CCCl)CC2=CC=CC=C2
80,80,2471,Inactive,0,100.0,364.4,127.0,528.0,25,3,7,8,CCCCNC1=C(C(=CC(=C1)C(=O)O)S(=O)(=O)N)OC2=CC=CC=C2
81,81,2351,Inactive,0,100.0,366.5,15.7,382.0,27,0,3,10,CC(C)COCC(CN(CC1=CC=CC=C1)C2=CC=CC=C2)N3CCCC3
82,82,2284,Inactive,0,100.0,213.66,63.3,191.0,14,2,3,4,C1=CC(=CC=C1C(CC(=O)O)CN)Cl
83,83,2369,Inactive,0,100.0,307.4,50.7,286.0,22,2,4,11,CC(C)NCC(COC1=CC=C(C=C1)CCOCC2CC2)O
84,84,2477,Inactive,0,100.0,385.5,69.6,529.0,28,0,6,6,C1CCC2(C1)CC(=O)N(C(=O)C2)CCCCN3CCN(CC3)C4=NC=CC=N4
85,85,2717,Inactive,0,100.0,273.74,62.8,395.0,17,0,3,1,CN1C(S(=O)(=O)CCC1=O)C2=CC=C(C=C2)Cl
86,86,1687,Inactive,0,100.0,341.9,12.5,389.0,24,0,2,4,CN1C2CCC1CC(C2)OC(C3=CC=CC=C3)C4=CC=C(C=C4)Cl
87,87,2765,Inactive,0,100.0,216.28,33.6,273.0,16,1,2,4,C1CC1C2=CC=CC=C2OCC3=NCCN3
88,88,2708,Inactive,0,100.0,304.2,40.5,250.0,19,1,3,9,C1=CC(=CC=C1CCCC(=O)O)N(CCCl)CCCl
89,89,2578,Inactive,0,100.0,214.05,61.8,156.0,12,1,3,4,C(CCl)NC(=O)N(CCCl)N=O
90,90,2754,Inactive,0,100.0,369.5,81.9,485.0,27,1,5,7,C1CCC(CC1)N2C(=NN=N2)CCCCOC3=CC4=C(C=C3)NC(=O)CC4
91,91,6241,Inactive,0,100.0,386.31,191.0,520.0,27,4,10,5,CN1C=NC2=C1C(=O)N(C(=O)N2C)C.C(C(=O)O)C(CC(=O)O)(C(=O)O)O
92,92,22420,Inactive,0,100.0,279.1,42.6,212.0,15,2,5,5,C1CNP(=O)(OC1)N(CCCl)CCCl.O
93,93,72276,Inactive,0,100.0,290.27,110.0,364.0,21,5,6,1,C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O
94,94,2727,Inactive,0,100.0,276.74,83.6,345.0,17,2,3,4,CCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)Cl
95,95,4211,Inactive,0,100.0,320.0,0.0,248.0,18,0,0,3,C1=CC=C(C(=C1)C(C2=CC=C(C=C2)Cl)C(Cl)Cl)Cl
